,count,unique,top,freq,mean,std,min,25%,50%,75%,max
age,9105.0,,,,62.65082292147173,15.593709881714913,18.04199,52.797,64.85699,73.99896,101.84796
sex,9105,2,male,5125,,,,,,,
dzgroup,9105,8,ARF/MOSF w/Sepsis,3515,,,,,,,
dzclass,9105,4,ARF/MOSF,4227,,,,,,,
num_co,9105.0,,,,1.8686436024162547,1.3444091804320228,0.0,1.0,2.0,3.0,9.0
edu,7471.0,,,,11.74769107214563,3.4477433333272667,0.0,10.0,12.0,14.0,31.0
income,6123,4,under $11k,2855,,,,,,,
scoma,9104.0,,,,12.058545694200351,24.63669401047755,0.0,0.0,0.0,9.0,100.0
charges,8933.0,,,,59995.78781114967,102648.77819830325,1169.0,9740.0,25024.0,64598.0,1435423.0
totcst,8217.0,,,,30825.86776844347,45780.82098601372,0.0,5929.5664,14452.7344,36087.9375,633212.0
totmcst,5630.0,,,,28828.87783757726,43604.26193242806,-102.71997,5177.4043,13223.5,34223.6016,710682.0
avtisst,9023.0,,,,22.610928270087552,13.233248221253847,1.0,12.0,19.5,31.666656,83.0
race,9063,5,white,7191,,,,,,,
sps,9104.0,,,,25.525872126186293,9.899377112094268,0.1999817,19.0,23.8984375,30.1992188,99.1875
aps,9104.0,,,,37.59797891036907,19.903851614906113,0.0,23.0,34.0,49.0,143.0
surv2m,9104.0,,,,0.6358702790861159,0.24817544431270314,0.0,0.5076904295,0.715942383,0.825927734,0.969970703
surv6m,9104.0,,,,0.5200956154342048,0.2533427856332858,0.0,0.342956543,0.574951172,0.725952148,0.947998047
hday,9105.0,,,,4.4,9.126811157138443,1.0,1.0,1.0,3.0,148.0
diabetes,9105.0,,,,0.19527732015376167,0.3964358073903243,0.0,0.0,0.0,0.0,1.0
dementia,9105.0,,,,0.032509610104338275,0.17735893036760766,0.0,0.0,0.0,0.0,1.0
ca,9105,3,no,5995,,,,,,,
prg2m,7456.0,,,,0.6187686288927039,0.29836714241918993,0.0,0.5,0.699999809,0.899999619,1.0
prg6m,7472.0,,,,0.49967869151498934,0.304367000750519,0.0,0.2,0.5,0.75,1.0
dnr,9075,3,no dnr,5880,,,,,,,
dnrday,9075.0,,,,14.58258953168044,19.94421592489758,-88.0,4.0,9.0,17.0,285.0
meanbp,9104.0,,,,84.54640817223199,27.687691790256213,0.0,63.0,77.0,107.0,195.0
wblc,8893.0,,,,12.34767677812999,9.266328527968989,0.0,7.0,10.5996094,15.2988281,200.0
hrt,9104.0,,,,97.15671114268454,31.559291846681155,0.0,72.0,100.0,120.0,300.0
resp,9104.0,,,,23.33029437609842,9.573801430102533,0.0,18.0,24.0,28.0,90.0
temp,9104.0,,,,37.10334106326889,1.251795540830989,31.69922,36.19531,36.69531,38.19531,41.69531
pafi,6780.0,,,,239.52906979941005,109.6655934676573,12.0,155.09375,224.0,304.75,890.375
alb,5733.0,,,,2.9505196053724054,0.8759444347611601,0.3999634,2.3999023,2.8999023,3.5996094,29.0
bili,6504.0,,,,2.554462923587023,5.318448169816106,0.09999084,0.5,0.89990234,1.89990234,63.0
crea,9038.0,,,,1.7709606720170392,1.68604111802532,0.09999084,0.89990234,1.19995117,1.89990234,21.5
sod,9104.0,,,,137.56854130052724,6.029325513368591,110.0,134.0,137.0,141.0,181.0
ph,6821.0,,,,7.415364150564433,0.08056349616070255,6.829102,7.379883,7.419922,7.469727,7.769531
glucose,4605.0,,,,159.87339842692725,88.39154067671765,0.0,103.0,135.0,188.0,1092.0
bun,4753.0,,,,32.34946318851252,26.792288364963696,1.0,14.0,23.0,42.0,300.0
urine,4243.0,,,,2191.546046543955,1455.2457768579345,0.0,1165.5,1968.0,3000.0,9000.0
adlp,3464.0,,,,1.1579099307159353,1.739671742887095,0.0,0.0,0.0,2.0,7.0
adls,6238.0,,,,1.637383776851555,2.2313579205297156,0.0,0.0,1.0,3.0,7.0
adlsc,9105.0,,,,1.8882719238660077,2.0037626262129296,0.0,0.0,1.0,3.0,7.0732422
death,9105.0,,,,0.6810543657331136,0.466093527541144,0.0,0.0,1.0,1.0,1.0
hospdead,9105.0,,,,0.2591982427237781,0.4382186724887765,0.0,0.0,0.0,1.0,1.0
sfdm2,7705,5,<2 mo. follow-up,3123,,,,,,,
